path,type,mime,size_bytes,size_human,category,suggested_usage,public,store_externally,optimization,hash,hash_mode
assets/README.md,md,text/markdown,510,0.5 KB,Miscellaneous,Review before any production use,Yes,No,Optional,1e7fe0615f56029b7cbd3b6e52d6e7f715ecd3ab2c38b183e1444f5725368f41,full
assets/fonts/candara.ttf,ttf,font/ttf,219532,214.4 KB,Fonts,Brand typography (license must be confirmed),No,No,Optional,9f02f6bf076197ed2a1335fe59a3bdf88e7ad4a849bf68037a528f37cce36791,full
assets/fonts/candaral.ttf,ttf,font/ttf,122132,119.3 KB,Fonts,Brand typography (license must be confirmed),No,No,Optional,0e14f663fa34460fe9a07bb32d0017a180a4a0c8457d279fbfc5d8452753b477,full
assets/fonts/fa-brands-400.woff2,woff2,font/woff2,54420,53.1 KB,Fonts,Brand typography (license must be confirmed),Yes,No,Optional,155963e3fb06f13011705c65bc52ed31f9989b87309c945948a76b35f8e7da67,full
assets/fonts/fa-regular-400.woff2,woff2,font/woff2,12220,11.9 KB,Fonts,Brand typography (license must be confirmed),Yes,No,Optional,a36d4f83add2176a3c6243bd57a32a387a1906227e286689530ff878de1994eb,full
assets/fonts/fa-solid-900.woff2,woff2,font/woff2,38784,37.9 KB,Fonts,Brand typography (license must be confirmed),Yes,No,Optional,62554277d07b20c6bfae7c6267b3198b4846f604a37d4085bf9f54c392210b56,full
assets/icons/axis-pattern.png,png,image/png,6308,6.2 KB,Backgrounds,Subtle textures/patterns; use sparingly,Yes,No,Optional,4c23b775a225d69ea2d936e68dd93427d0b83695dbfb9f4a09df1c40bc7ca41b,full
assets/icons/bg-pattern-02.svg,svg,image/svg+xml,23498,22.9 KB,Backgrounds,Subtle textures/patterns; use sparingly,Yes,No,Optional,f4085c9259a737a633e3167e0da1b33f77c6da4d6920d30d872d0c6e185aa5c7,full
assets/icons/bg.svg,svg,image/svg+xml,766,0.7 KB,Backgrounds,Subtle textures/patterns; use sparingly,Yes,No,Optional,6a617e5e69dc0e45dc00fee7baa65fef34f90e6e7b5bd06bdd50a74ff9f49228,full
assets/icons/cursor.png,png,image/png,172,0.2 KB,Icons,UI marks (prefer SVG; raster stats likely unused),Yes,No,Optional,844701af895817cf3394fb82faaea360608e6ee584fa2581f5c64b13adc3190f,full
assets/icons/dotted.svg,svg,image/svg+xml,68396,66.8 KB,Backgrounds,Subtle textures/patterns; use sparingly,Yes,No,Optional,8104e3a3dcabc74b5c2e92c602b0718f074824a8926238a38a3a08922b627851,full
assets/icons/stat-r1.png,png,image/png,872705,852.3 KB,Icons,UI marks (prefer SVG; raster stats likely unused),No,No,Required,19efe2f8f6e12b3b70d413ecb76a61581392c77a210941b6db76381552494ebf,full
assets/icons/stat-r2.png,png,image/png,1316009,1.26 MB,Icons,UI marks (prefer SVG; raster stats likely unused),No,No,Required,4a70b4c22f2e77d0ccaadb5ca5b87f9b84be55e30f4d1da3ce707cf3c140e353,full
assets/icons/stat-r3.png,png,image/png,1343827,1.28 MB,Icons,UI marks (prefer SVG; raster stats likely unused),No,No,Required,16bcebc7a042c6adba1d1fb9de23c3efb8bf52f16438031f7811241bb6bb2369,full
assets/icons/stat-r4.png,png,image/png,684748,668.7 KB,Icons,UI marks (prefer SVG; raster stats likely unused),No,No,Required,bc6c794e3b9dcb42a490128ebc196f891c23981c464e1b1bf3ce917e7b791bb3,full
assets/images/aac/block-01.jpg,jpg,image/jpeg,585085,571.4 KB,Product images,Renacon/AAC product modules,Yes,No,Required,2bebec2908057b680f36b128ce8078c3be3f327488f24c3ec56e72aa3a4b44e7,full
assets/images/aac/block-02.jpg,jpg,image/jpeg,867506,847.2 KB,Product images,Renacon/AAC product modules,Yes,No,Required,98e1885756354fd560f15ad4fb1c5981233b05b0c7484a6e64e017857d58cae4,full
assets/images/aac/block-03.jpg,jpg,image/jpeg,1075598,1.03 MB,Product images,Renacon/AAC product modules,Yes,No,Required,8dde56005e728dcb762858603a3f32de170d7c05521638320bd38878e521a740,full
assets/images/aac/block-04.jpg,jpg,image/jpeg,706816,690.2 KB,Product images,Renacon/AAC product modules,Yes,No,Required,364eafe38b7ececdb5173c3cfefb8c14b6cab7b7cb8dec0c08bb0239198dff5a,full
